im looking for a moderately priced restaurant that serves;inform 
italian food west part of town;inform 
i would like singaporean food;inform 
breath hi im looking for a danish food;hello 
okay how bout thai food;reqalts 
can you find me a place that has thai food;inform 
no im looking for thai food;negate 
um i dont know;inform 
cough im looking for expensive danish food;inform 
breath do you have danish restaurants;inform 
no i dont want chinese i want thai food;deny 
breath can you find me danish restaurant;inform 
breath okay how about thai food;ack 
i dont want chinese i want thai food;deny 
no chinese;negate 
okay forget it goodbye;bye 
yeah do you have thai food;affirm 
no goodbye thank you;negate 
i want a restaurant;inform 
i want a restaurant in the north part of town that serves swiss food;inform 
that serves indian food;inform 
medium;null 
could i have the address phone number;request 
im looking an expensive dr expensive restaurant that serves canapes food;inform 
how about ah one that serves asian oriental;reqalts 
is there one that serves asian oriental food;inform 
im loo;null 
im looking for one that serves asian oriental food;inform 
and can i have the phone number and ah the area where it is;request 
ah where is it;request 
is that the north part of town south part of town;confirm 
i need a restaurant in the north part of town;inform 
any restaurant that serves moroccan food;inform 
any restaurant that serves asian oriental food;inform 
whats its number;request 
im looking for a expensive restaurant that serves vegetarian food;inform 
jamcian food;inform 
i need a restaurant in the moderate price range;inform 
im looking for an expensive restaurant that serves vietnamese food;inform 
how about in any price range;reqalts 
vietnamese food in any price range;inform 
sells english food;inform 
what about turkey food;reqalts 
are there any restaurants serving turkish food;reqalts 
are there any turkish restaurants at all;inform 
i need to know if there are any restaurants serving turkish food;inform 
thats all i need;null 
i want to find a restaurant in the west part of town that serves english food;inform 
vietnamese type of food;inform 
does it serve vietnamese type of food;confirm 
i want to find a restaurant in the west part of town that serves vietnamese food;inform 
is there a restaurant in the west part of town that serves vietnamese food;reqalts 
a spanish restaurant in the center;inform 
after;null 
can i have a restaurant in the center;inform 
no i said irish;negate 
can we start over;restart 
can i have irish food;inform 
what about irish food;inform 
im looking for a restaurant that serves traditional food;inform 
do you have a restaurant that serves korean food;reqalts 
turkish food any area;inform 
thank you good be;thankyou 
looking for a;null 
no eritrean;negate 
no im looking for eritrean food;negate 
no i want;negate 
okay uh spanish food;inform 
no i want spanish food;negate 
no spanish food;negate 
okay could you give me the address;request 
im looking for a cheap restaurant that serves welsh food;inform 
noise i would like to find a moderately priced restaurant in the south of town;inform 
kind of food do they serve;request 
im looking for a restaurant in the east part of town and it should serve greek food;inform 
yes it should be in the east part of town;affirm 
id like a hungarian food restaurant in the centre part of town;inform 
noise hungarian;inform 
either one;inform 
